ObjectID,Batch Reference,Supplier Code,Supplier Compound Number,Library ID,CAS Number,SMILES,Full Molecular Mass,Parent Molecular Mass,Plate ID,Well,Object Name,Drug Name,Analysis
YU226332,1,Microsource,1500372,Pharmakon 1600,138-39-6,Cl.S(=O)(=O)(N)C1(=CC=C(CN)C=C1),222.69322,222.69322,M00966A,A003,MAFENIDE HYDROCHLORIDE,mafenide,"antibacterial, synthetic"
YU034192,2,Microsource,1501137,Pharmakon 1600,"23327-57-3, 13669-70-0 [nefopam]",O2(C(C1(=C(C=CC=C1)CN(CC2)C))C3(=CC=CC=C3)),253.3389,253.3389,M00966A,A004,NEFOPAM,nefopam,"analgesic, synthetic"
YU226333,1,Microsource,1505032,Pharmakon 1600,71963-77-4,O1(OC4(OC3(C12(C(C(CCC2C(C)C(O3)OC)C)CC4)))(C)),298.37464,298.37464,M00966A,A005,ARTEMETHER,artemether,"antimalarial, semisynthetic; SM-224"
YU221225,4,Microsource,1502267,Pharmakon 1600,149647-78-9,O=C(NO)CCCCCCC(=O)NC1(=CC=CC=C1),264.32028,264.32028,M00966A,A006,VORINOSTAT,vorinostat,"antineoplastic, histone deacetylase inhibitor, synthetic"
YU226334,1,Microsource,1504280,Pharmakon 1600,93413-62-8,O=C(O)CCC(=O)O.OC2(=CC=C(C(C1(O)(CCCCC1))CN(C)C)C=C2),381.46328,381.46328,M00966A,A007,DESVENLAFAXINE SUCCINATE,PRISTIQ,"antidepressant, synthetic; WY-45233"
YU226378,1,Microsource,1502271,Pharmakon 1600,154361-50-9,FC=1(C(=NC(=O)N(C=1)C2(OC(C)C(C2O)O))NC(=O)OCCCCC),359.3502032,359.3502032,M00966A,A008,CAPECITABINE,capecitabine,"antineoplastic, synthetic; RO-091978"
YU226335,1,Microsource,1301015,Pharmakon 1600,100-88-9,S(=O)(=O)(O)NC1(CCCCC1),179.23836,179.23836,M00966A,A009,CYCLAMIC ACID,HEXAMIC ACID,"sweetener, synthetic"
YU226379,1,Microsource,1502272,Pharmakon 1600,71486-22-1,O=C(OC)C7(C1(=C(OC)C=C2(N(C)C4(C5(C2(=C1))(C3(N(CC=CC3(CC)C(C4(O)C(=O)OC)OC(=O)C)CC5))))))(C=6(NC=9(C=CC=CC=9(C=6CN8(CC(=CC(C7)C8)CC))))),778.93242,778.93242,M00966A,A010,VINORELBINE,NAVELBINE,"antineoplastic, synthetic; KW-2307"
YU155443,2,Microsource,310035,Pharmakon 1600,5578-73-4,S(=O)(=O)(O)[O-].O6(C=5(C=4(C(=C3(C(C=1(C(=CC=2(OCOC=2(C=1)))C=C3))=[N+](C=4)C))C=CC=5OC6))),429.40104,429.40104,M00966A,A011,SANGUINARINE SULFATE,VIADENT,"antineoplastic, antiplaque agent, Sanguinaria canadensis"
YU034196,2,Microsource,1501142,Pharmakon 1600,80-32-0,ClC2(=NN=C(NS(=O)(=O)C1(=CC=C(N)C=C1))C=C2),284.72292,284.72292,M00966A,A012,SULFACHLORPYRIDAZINE,sulfachlorpyridazine,"antibacterial, synthetic"
