Epoch: 1 tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 2 tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0040, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 3 tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0038, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 4 tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0036, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 5 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 6 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0034, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 7 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0033, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 8 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 9 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 10 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 11 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 12 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 13 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0029, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 14 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0029, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 15 tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0029, device='cuda:0', grad_fn=<DivBackward0>)
